V;A4 ac+rod becker 30s;C3 ac+rod becker 30s;D2 ac+rod becker 30s;E5 ac+rod becker 30s
-0,0429237;-33,1472;-35,5459;-33,3303;-34,9599
-0,0409272;-32,8084;-35,1797;-33,0648;-34,612
-0,0389308;-32,3964;-34,7127;-32,7626;-34,1451
-0,0369343;-32,0485;-34,3374;-32,4971;-33,8064
-0,0349379;-31,6182;-33,9071;-32,1218;-33,3761
-0,0329414;-31,252;-33,4859;-31,783;-32,9732
-0,030945;-30,8309;-33,0465;-31,4443;-32,5795
-0,0289485;-30,4463;-32,5795;-31,0506;-32,1309
-0,0269521;-29,9794;-32,0943;-30,6661;-31,6823
-0,0249556;-29,5857;-31,7006;-30,3639;-31,2703
-0,0229592;-29,1096;-31,2154;-29,9886;-30,7942
-0,0209627;-28,6152;-30,6844;-29,5766;-30,2724
-0,0189663;-28,1392;-30,19;-29,1737;-29,8238
-0,0169698;-27,6814;-29,6956;-28,7709;-29,3477
-0,0149734;-27,1595;-29,1371;-28,3955;-28,78
-0,0129769;-26,6926;-28,6427;-27,9835;-28,2856
-0,0109805;-26,0792;-27,9652;-27,4434;-27,6722
-0,00898403;-25,6397;-27,4983;-27,068;-27,2145
-0,00698758;-25,0721;-26,8849;-26,5736;-26,6285
-0,00499113;-24,4404;-26,1891;-26,0151;-25,9602
-0,00299468;-23,9277;-25,6397;-25,5756;-25,4108
-0,000998226;-23,3051;-24,9989;-25,0538;-24,77
0,000998224;-22,6917;-24,3305;-24,5136;-24,1291
0,00299467;-22,1149;-23,6896;-24,0101;-23,5065
0,00499112;-21,3458;-22,9114;-23,3417;-22,71
0,00698757;-20,8331;-22,3438;-22,9114;-22,179
0,00898402;-20,1556;-21,6205;-22,2889;-21,4649
0,0109805;-19,4873;-20,9155;-21,7029;-20,7782
0,0129769;-18,8098;-20,2014;-21,117;-20,0824
0,0149734;-18,0499;-19,3957;-20,4395;-19,3408
0,0169698;-17,3999;-18,6999;-19,8627;-18,6542
0,0189663;-16,6674;-17,9309;-19,2218;-17,9034
0,0209627;-15,9442;-17,171;-18,5718;-17,1435
0,0229592;-15,2667;-16,4477;-17,9767;-16,4294
0,0249556;-14,4152;-15,5688;-17,2076;-15,5413
0,0269521;-13,6828;-14,8089;-16,5759;-14,7631
0,0289485;-12,8771;-13,9666;-15,8434;-13,93
0,030945;-12,1721;-13,2067;-15,2392;-13,1884
0,0329414;-11,3939;-12,4102;-14,5068;-12,3919
0,0349379;-10,5608;-11,5404;-13,7377;-11,5129
0,0369343;-9,70932;-10,6523;-12,9503;-10,634
0,0389308;-8,95857;-9,83749;-12,2362;-9,83749
0,0409272;-8,18036;-9,04097;-11,5587;-9,02266
0,0429237;-7,36553;-8,18952;-10,7897;-8,17121
0,0449201;-6,44999;-7,2282;-9,91989;-7,21904
0,0469166;-5,63516;-6,36759;-9,15999;-6,37675
0,048913;-4,76539;-5,45205;-8,336;-5,4612
0,0509095;-2,24079;-4,66468;-7,60357;-4,67384
0,0529059;-1,19982;-1,84894;-6,73381;-1,87274
0,0549024;-0,582742;-0,816205;-5,94644;-0,84184
0,0568988;0,170748;-0,105745;-5,10414;-0,137789
0,0588953;1,01854;0,747539;-2,16754;0,708171
0,0608917;1,71344;1,45251;-1,3225;1,40764
0,0628882;2,56214;2,32135;-0,716411;2,2829
0,0648846;3,46944;3,23598;0,0425727;3,21218
0,0668811;4,34653;4,15976;0,848249;4,11673
0,0688775;5,34813;5,21447;1,81781;5,18517
0,070874;6,09155;5,98444;2,51637;5,95972
0,0728704;7,0309;6,98421;3,45571;6,93385
0,0748669;7,96384;7,97299;4,39872;7,91989
0,0768633;8,93614;8,99474;5,39574;8,93156
0,0788598;9,9707;10,0705;6,46326;10,0101
0,0808562;10,8414;11,0062;7,35317;10,9403
0,0828527;11,8293;12,0307;8,37675;11,962
0,0848491;12,9554;13,2163;9,5285;13,1293
0,0868456;13,9167;14,228;10,5393;14,1163
0,088842;15,051;15,4044;11,7157;15,2854
0,0908385;16,0847;16,5104;12,8235;16,3767
0,0928349;17,2245;17,6951;14,0266;17,5496
0,0948314;18,3305;18,8753;15,203;18,7187
0,0968278;19,5061;20,1122;16,4564;19,9391
0,0988243;20,7073;21,3628;17,7546;21,187
0,100821;21,9908;22,6986;19,116;22,52
0,102817;23,2158;23,9913;20,4326;23,7871
0,104814;24,537;25,3912;21,8737;25,1659
0,10681;25,9286;26,8295;23,3541;26,5823
0,108807;27,3413;28,3484;24,9068;28,0719
0,110803;28,786;28,9357;26,4431;28,6519
0,112799;29,4667;30,4829;28,125;30,1442
0,114796;30,8675;31,9844;28,8075;31,6274
0,116792;32,5246;33,7697;30,5379;33,3669
0,118789;34,0627;35,3811;32,2042;34,9783
0,120785;35,7839;37,1939;34,0169;36,7269
0,122782;37,6242;39,1348;35,9945;38,6587
0,124778;39,4736;41,0849;37,9721;40,5447
0,126775;41,3596;43,09;40,0137;42,5132
0,128771;43,3097;45,1316;42,1103;44,5365
