Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
"0,73607349395752","131,480145454407","132,267642021179","132,180142402649","135,967707633972","135,023927688599","139,542746543884","137,298965454102","154,936742782593","138,698983192444","146,192860603333","144,111585617065","152,474212646484","137,430214881897","137,823987007141","144,974088668823","135,161447525024","146,105360984802","151,399183273315","158,908605575562","99,579644203186","142,730307579041","147,424125671387","154,105472564697","154,036736488342","174,596309661865","158,658742904663","140,211510658264","146,317863464355","147,080373764038"
"0,738073825836182","131,980133056641","132,930159568787","132,880163192749","136,611461639404","135,623955726624","140,192770957947","137,980222702026","155,818009376526","139,342761039734","146,867871284485","144,799089431763","153,324222564697","137,942743301392","138,498997688293","145,667862892151","135,698938369751","146,82412147522","152,236700057983","159,471273422241","100,010895729065","143,524074554443","147,924137115479","154,705500602722","154,642987251282","175,909042358398","159,346103668213","140,774035453796","147,149133682251","147,861623764038"
"0,740073680877686","132,680153846741","133,542656898499","133,548927307129","137,236475944519","136,242699623108","140,811538696289","138,717746734619","156,283617019653","140,042757987976","147,574138641357","145,449090003967","154,061722755432","138,523983955383","139,192748069763","146,317863464355","136,242699623108","147,499132156372","153,099226951599","160,408735275269","100,423407554626","144,342827796936","148,561644554138","155,236744880676","155,261754989624","176,784038543701","160,033702850342","141,374039649963","147,911643981934","148,599147796631"
"0,742074012756348","133,305168151855","134,217667579651","134,230184555054","137,917733192444","136,867713928223","141,417789459229","139,474010467529","157,158613204956","140,755271911621","148,317885398865","146,174120903015","154,855489730835","139,161491394043","139,849019050598","147,074127197266","136,83021068573","148,230385780334","153,986740112305","161,596298217773","100,854659080505","145,186591148376","149,161648750305","155,842995643616","155,893015861511","177,221536636353","161,033630371094","142,042803764343","148,636651039124","149,367904663086"
"0,744073867797852","133,892679214478","134,786438941956","134,936428070068","138,511490821838","137,511467933655","142,011547088623","140,167760848999","158,096075057983","141,467785835266","149,011659622192","146,805357933044","155,636763572693","139,774012565613","140,530276298523","147,72412776947","137,367725372314","148,924160003662","154,830503463745","162,408828735352","101,204681396484","145,930361747742","149,667906761169","155,783653259277","156,221151351929","177,846431732178","161,658763885498","142,61155128479","149,467921257019","150,067925453186"
"0,746073722839356","134,4801902771","135,530185699463","135,655188560486","139,198994636536","138,161492347717","142,69905090332","140,917778015137","159,096240997314","142,186546325684","149,692916870117","147,536635398865","155,971050262451","140,34903049469","141,27402305603","148,430395126343","137,948989868164","149,592900276184","155,71174621582","163,471221923828","101,742172241211","146,774125099182","150,36792755127","156,846046447754","156,65864944458","179,033994674683","162,158727645874","143,242812156677","150,261664390564","150,861692428589"
"0,748074054718018","135,123944282532","136,180210113525","136,398959159851","139,79275226593","138,767743110657","143,324065208435","141,642785072327","159,783601760864","142,817807197571","150,467920303345","148,286652565002","157,033681869507","140,949034690857","141,967797279358","149,049162864685","138,611483573914","150,405430793762","155,971050262451","165,03381729126","102,129673957825","147,624135017395","150,961685180664","157,471179962158","157,596111297607","179,471492767334","162,283658981323","143,830323219299","151,005434989929","151,636695861816"
"0,750073909759522","135,811448097229","136,817717552185","137,073969841003","140,574026107788","139,436507225037","143,999075889587","142,392802238464","161,346197128296","143,580317497253","151,255440711975","149,09291267395","158,033609390259","141,592788696289","142,742800712585","149,899172782898","139,242744445801","151,099181175232","157,221078872681","165,971279144287","102,585935592651","148,417901992798","151,511693000793","158,221244812012","158,346176147461","180,284023284912","163,221120834351","144,499087333679","151,899194717407","152,449202537537"
"0,752073764801025","136,367702484131","137,486481666565","137,780237197876","141,155290603638","140,055274963379","144,649076461792","143,105316162109","162,033796310425","144,349074363709","151,899194717407","149,780416488647","158,846139907837","142,249059677124","143,39907169342","150,555419921875","139,811515808105","151,830434799194","158,221244812012","167,158842086792","103,035950660706","149,280405044556","152,08044052124","158,846139907837","158,908605575562","181,09655380249","163,971185684204","145,105338096619","152,667951583862","153,105473518372"
"0,754074096679688","137,105226516724","138,211488723755","138,624000549316","141,8865442276","140,742778778076","145,236587524414","143,886566162109","162,908792495728","145,136594772339","152,774214744568","150,54292678833","159,346103668213","142,855310440063","144,136571884155","151,317930221558","140,43653011322","152,63044834137","159,283638000488","168,033838272095","103,51095199585","150,117921829224","152,786707878113","158,908605575562","159,096240997314","181,971549987793","165,03381729126","145,774102210999","153,44922542572","153,974223136902"
"0,756073951721191","137,686491012573","138,917756080627","139,349007606506","142,542815208435","141,492795944214","145,955348014832","144,649076461792","163,533687591553","145,880365371704","153,486728668213","151,205444335938","160,158634185791","143,486571311951","144,799089431763","152,030444145203","140,974020957947","153,486728668213","160,158634185791","169,283866882324","104,010963439941","150,874185562134","153,380465507507","160,033702850342","159,783601760864","183,408975601196","165,908813476563","146,367859840393","154,236721992493","154,736733436584"
"0,758074283599854","138,486480712891","139,64900970459","140,111517906189","143,330311775208","142,217803001404","146,642875671387","145,467853546143","164,846181869507","146,699118614197","154,292988777161","151,99294090271","161,658763885498","144,242835044861","145,624089241028","152,880454063416","141,705298423767","154,249238967896","160,84623336792","170,471429824829","104,529714584351","151,749205589294","154,036736488342","160,221099853516","160,471200942993","183,721542358398","166,533708572388","147,136616706848","155,124235153198","155,530500411987"
"0,760074138641357","139,117741584778","140,399026870728","140,942788124084","143,992829322815","142,824053764343","147,317886352539","146,305370330811","165,72117805481","147,436618804932","155,017995834351","152,811717987061","162,096261978149","144,836592674255","146,336603164673","153,586721420288","142,324042320251","155,061745643616","161,721229553223","171,346426010132","105,004739761353","152,617955207825","154,680490493774","161,408662796021","161,408662796021","184,659004211426","166,783809661865","147,742891311646","155,899262428284","156,09622001648"
"0,762073993682861","139,836502075195","141,180276870728","141,774034500122","144,711589813232","143,574070930481","147,999143600464","147,080373764038","166,721343994141","148,205399513245","155,830502510071","153,574228286743","163,096189498901","145,511603355408","147,086620330811","154,355478286743","142,980313301086","155,886769294739","162,908792495728","172,471284866333","105,510997772217","153,492975234985","155,330491065979","161,596298217773","162,158727645874","185,909032821655","167,533874511719","148,411655426025","156,346082687378","156,721115112305"
"0,764074325561523","140,536522865295","141,867804527283","142,480301856995","145,39909362793","144,249081611633","148,711657524109","147,867894172668","167,658805847168","149,06165599823","156,533718109131","154,342985153198","164,033651351929","146,21787071228","147,817873954773","155,186748504639","143,624067306519","156,346082687378","163,846254348755","173,471450805664","106,023502349854","154,330492019653","155,967998504639","162,408828735352","162,346124649048","186,408996582031","168,908834457397","149,11789894104","157,158613204956","157,346248626709"
