Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"0,995384","112,4935","123,678","106,5194","126,6274","107,8286","124,972","111,5775","125,7466","117,1974","118,7018"
"0,99738","112,9709","124,2978","106,9856","127,2176","108,3176","125,5447","112,1093","126,3205","117,7633","119,3008"
"0,999377","113,4176","124,8272","107,373","127,7285","108,7669","126,0693","112,5858","126,8859","118,2709","119,8426"
"0,99738","107,7066","118,4691","101,6489","121,2034","103,1581","119,8685","107,0451","121,0265","112,3545","114,1128"
"0,995384","103,1315","113,342","97,11642","116,0073","98,64642","114,8057","102,5583","116,2273","107,5743","109,4886"
"0,993388","99,22811","108,9773","93,26466","111,5718","94,8027","110,4235","98,72074","112,012","103,4593","105,5339"
"0,991391","95,69068","105,0057","89,86014","107,4851","91,35899","106,4396","95,24642","108,1472","99,76061","101,9396"
"0,989395","92,4727","101,3376","86,74845","103,6807","88,21892","102,7738","92,06439","104,6172","96,36791","98,6223"
"0,987398","89,47486","97,87568","83,8698","100,147","85,27838","99,395","89,10966","101,3238","93,20824","95,53264"
"0,985402","86,68014","94,6873","81,2223","96,89946","82,57074","96,19919","86,35047","98,23459","90,26669","92,64905"
"0,983405","84,00284","91,63135","78,65088","93,80027","79,97074","93,1173","83,69682","95,21203","87,41068","89,89378"
"0,981409","81,45054","88,75365","76,27568","90,81365","77,52115","90,18892","81,19574","92,33041","84,74541","87,2775"
"0,979412","79,04892","86,00338","73,99885","87,93351","75,18899","87,40878","78,80338","89,62608","82,20628","84,76541"
"0,977416","76,76757","83,35811","71,85858","85,22514","72,9802","84,82189","76,56014","87,06959","79,80676","82,39358"
"0,975419","74,55784","80,81703","69,80676","82,64797","70,84845","82,27689","74,37432","84,57811","77,47507","80,08919"
"0,973423","72,47176","78,45027","67,84581","80,24041","68,83561","79,85311","72,30608","82,17676","75,24743","77,92878"
"0,971427","70,41669","76,12905","65,96333","77,83405","66,87682","77,48","70,28966","79,80851","73,10088","75,8125"
"0,96943","68,5152","73,95162","64,1941","75,54878","65,05601","75,27041","68,39649","77,6323","71,09764","73,8073"
"0,967434","66,61493","71,74689","62,42691","73,2823","63,21874","73,11405","66,53241","75,48459","69,09392","71,81642"
"0,965437","64,83827","69,69297","60,79174","71,21743","61,51345","71,06264","64,77971","73,45547","67,22749","69,94662"
"0,963441","63,14947","67,78284","59,19777","69,28615","59,89887","69,08432","63,10122","71,48216","65,42104","68,19081"
"0,961444","61,44705","65,89359","57,67809","67,30899","58,29461","67,1308","61,44336","69,5075","63,65139","66,43508"
"0,959448","59,84609","64,07614","56,1934","65,37892","56,76872","65,25015","59,84525","67,64054","61,9578","64,73277"
"0,957452","58,29338","62,28711","54,76439","63,5293","55,27789","63,50078","58,33174","65,87142","60,33313","63,10015"
"0,955455","56,79758","60,56245","53,41586","61,79346","53,85299","61,77862","56,86151","64,15774","58,76662","61,52323"
"0,953458","55,42676","59,01468","52,14151","60,23581","52,55392","60,16157","55,50676","62,53576","57,29452","60,09221"
"0,951462","53,94581","57,39516","50,81358","58,5235","51,16207","58,46042","54,06541","60,79874","55,75131","58,56113"
"0,949466","52,6158","55,90059","49,61349","56,93122","49,91453","56,9077","52,75187","59,24357","54,35863","57,14761"
"0,947469","51,30681","54,37758","48,41957","55,36736","48,65874","55,42057","51,47549","57,73665","52,9855","55,76091"
"0,945473","50,06218","52,94118","47,30813","53,9297","47,48959","53,9953","50,26714","56,31011","51,69426","54,44532"
"0,943476","48,88557","51,63095","46,22349","52,60836","46,38225","52,60959","49,10417","54,91207","50,43417","53,21172"
"0,94148","47,64588","50,25393","45,13063","51,19546","45,23576","51,19174","47,91022","53,44843","49,15116","51,93841"
"0,939483","46,499","48,96353","44,10579","49,8135","44,16971","49,85062","46,78025","52,10111","47,95705","50,72285"
"0,937487","45,42508","47,71146","43,13457","48,52678","43,14901","48,63565","45,74924","50,85523","46,83118","49,58357"
"0,935491","44,32024","46,43835","42,15921","47,26482","42,11182","47,37616","44,68932","49,5908","45,69252","48,41441"
"0,933494","43,33668","45,33847","41,25196","46,17361","41,20039","46,21814","43,71813","48,41296","44,63821","47,38184"
"0,931498","42,28255","44,21014","40,33228","44,98711","40,23329","45,02176","42,72009","47,16707","43,56039","46,31163"
"0,929501","41,31503","43,12757","39,47858","43,82782","39,3425","43,88227","41,77365","46,01768","42,55534","45,27701"
"0,927504","40,35373","42,01159","38,60018","42,66978","38,42696","42,7997","40,85191","44,90297","41,54847","44,25426"
"0,925508","39,43942","40,96242","37,80421","41,63673","37,58358","41,77528","39,98793","43,8637","40,62199","43,29386"
"0,923512","38,59441","40,01842","37,02478","40,71623","36,80414","40,77561","39,16106","42,85168","39,71698","42,41132"
"0,921515","37,7172","39,08928","36,27211","39,73634","36,01439","39,78584","38,34241","41,80253","38,82453","41,52567"
"0,919519","36,84127","38,13788","35,50302","38,69462","35,2143","38,76761","37,49698","40,77189","37,93413","40,59829"
"0,917522","36,02345","37,18892","34,75243","37,71969","34,44106","37,85331","36,71959","39,82543","37,07964","39,72914"
"0,915526","35,23784","36,29318","34,08018","36,83384","33,72345","36,97984","35,98759","38,93709","36,29997","38,90947"
"0,91353","34,50169","35,48157","33,40385","36,04819","33,05743","36,11747","35,2762","38,05992","35,52055","38,14446"
"0,911533","33,72966","34,65632","32,73372","35,19328","32,34809","35,244","34,55446","37,12458","34,72457","37,36245"
"0,909537","33,00959","33,89174","32,12126","34,34208","31,70887","34,40888","33,86574","36,27461","34,00412","36,60568"
"0,90754","32,26974","33,03309","31,4511","33,45622","31,0243","33,58984","33,17907","35,43208","33,24384","35,82932"
"0,905544","31,63011","32,29323","30,90054","32,73988","30,43867","32,88711","32,59142","34,70707","32,61307","35,15916"
"0,903547","30,95953","31,54968","30,28606","32,03838","29,82831","32,10273","31,94394","33,91399","31,90353","34,46118"
"0,901551","30,29264","30,85559","29,71901","31,32203","29,23651","31,36534","31,3439","33,11599","31,23935","33,80595"
"0,899554","29,68147","30,20731","29,19732","30,59578","28,69626","30,65269","30,76653","32,39097","30,63001","33,1657"
"0,897558","29,05546","29,48847","28,62201","29,84355","28,11066","29,95739","30,17883","31,67464","29,98481","32,50172"
"0,895561","28,45664","28,81047","28,12093","29,18535","27,57243","29,3202","29,64684","31,01645","29,40476","31,88827"
"0,893565","27,89616","28,19681","27,60953","28,60758","27,07343","28,66572","29,11482","30,357","28,82699","31,31245"
"0,891569","27,31342","27,59428","27,1064","27,99391","26,55586","28,01866","28,58901","29,64931","28,23826","30,74178"
"0,889572","26,82103","27,08455","26,70637","27,40996","26,12694","27,44581","28,12919","29,05918","27,75801","30,22368"
"0,887576","26,21726","26,39791","26,14757","26,69236","25,57228","26,78886","27,57243","28,38241","27,14354","29,59115"
"0,885579","25,71743","25,82878","25,73516","26,14551","25,1248","26,26676","27,13941","27,83926","26,6771","29,08339"
"0,883583","25,23739","25,3042","25,29597","25,67041","24,70209","25,70628","26,68574","27,27509","26,17974","28,58953"
"0,881586","24,73508","24,78457","24,865","25,14459","24,25669","25,14954","26,23417","26,66762","25,67062","28,10444"
"0,87959","24,25751","24,30082","24,47939","24,59157","23,85252","24,60889","25,80322","26,10838","25,22255","27,61524"
"0,877593","23,77623","23,75273","24,02986","23,99769","23,40299","24,07564","25,35989","25,55905","24,73076","27,10539"
"0,875597","23,32959","23,23061","23,65457","23,51273","23,00709","23,61786","24,9784","25,07903","24,31772","26,64916"
"0,8736","22,92008","22,77904","23,28343","23,1168","22,64624","23,13781","24,58867","24,60764","23,89357","26,23005"
"0,871604","22,44376","22,29528","22,87718","22,63676","22,22766","22,62068","24,17833","24,03853","23,416","25,77951"
"0,869608","22,03918","21,89072","22,55961","22,15795","21,88536","22,16291","23,80921","23,55724","23,04071","25,36193"
"0,867611","21,63461","21,4305","22,17608","21,67173","21,50799","21,70882","23,43806","23,09701","22,63141","24,92995"
"0,865615","21,24861","20,97765","21,86473","21,25109","21,16777","21,3278","23,12257","22,69119","22,27755","24,54589"
"0,863618","20,84527","20,53595","21,49151","20,85889","20,81516","20,86754","22,74316","22,23714","21,87195","24,12678"
"0,861622","20,46049","20,14499","21,16157","20,47782","20,47905","20,44069","22,41117","21,76947","21,48244","23,76696"
"0,859625","20,09922","19,79609","20,88322","20,06581","20,17802","20,03861","22,08948","21,34264","21,15602","23,40145"
"0,857629","19,76766","19,41751","20,57595","19,6563","19,87694","19,67239","21,78845","20,96404","20,82259","23,04732"
"0,855633","19,38905","18,97461","20,26255","19,24059","19,54495","19,29381","21,48324","20,57801","20,47926","22,66686"
"0,853636","19,0513","18,60592","19,95117","18,92634","19,24802","18,90654","21,16572","20,192","20,13717","22,31941"
"0,851639","18,71601","18,26443","19,66041","18,60591","18,95522","18,54157","20,87703","19,78745","19,79817","22,00753"
"0,849643","18,39434","17,95389","19,41914","18,23351","18,68924","18,17905","20,59657","19,40886","19,5097","21,6807"
"0,847647","18,08255","17,60004","19,12223","17,84254","18,40466","17,83142","20,31407","19,04635","19,1942","21,34355"
"0,84565","17,77946","17,24372","18,87892","17,51715","18,13657","17,54559","20,08313","18,74819","18,92574","21,04714"
"0,843654","17,46766","16,89482","18,59847","17,22641","17,86851","17,18309","19,79236","18,403","18,61766","20,72134"
"0,841657","17,19053","16,62018","18,35514","16,9703","17,63137","16,87997","19,5532","18,06151","18,3327","20,4708"
"0,839661","16,86266","16,30962","18,10358","16,60161","17,35507","16,52119","19,27482","17,67924","18,03945","20,13985"
"0,837664","16,60282","16,00651","17,85615","16,26757","17,12","16,223","19,02739","17,37486","17,78068","19,8558"
"0,835668","16,34796","15,69596","17,64786","15,97434","16,89113","15,98918","18,8418","17,12372","17,5526","19,59857"
"0,833672","16,04981","15,36686","17,38189","15,69969","16,63955","15,64649","18,56757","16,80328","17,2625","19,29545"
"0,831675","15,78009","15,0922","17,1427","15,45842","16,40655","15,34954","18,3366","16,47419","16,9837","19,04285"
"0,829679","15,50419","14,83485","16,9468","15,14665","16,17559","15,04643","18,10566","16,14508","16,73834","18,7722"
"0,827682","15,26664","14,56391","16,71583","14,83362","15,9632","14,77053","17,87678","15,8667","16,50223","18,50878"
"0,825686","15,08478","14,32141","16,57353","14,62454","15,7962","14,60723","17,75511","15,68358","16,34057","18,32063"
"0,823689","14,76807","13,97004","16,28901","14,32636","15,52401","14,25338","17,46644","15,35572","16,03391","17,99378"
"0,821693","14,53546","13,73374","16,0787","14,12223","15,32603","13,98614","17,26847","15,06497","15,78856","17,78397"
"0,819696","14,2942","13,51351","15,90755","13,85004","15,12601","13,72261","17,07052","14,77054","15,5807","17,54478"
"0,8177","14,08758","13,27101","15,71164","13,56672","14,9425","13,47515","16,87667","14,52308","15,3677","17,30558"
"0,815703","13,88716","13,01369","15,54874","13,33659","14,76516","13,29454","16,73851","14,32512","15,19261","17,10659"
"0,813707","13,63105","12,71674","15,32397","13,09409","14,54245","13,00503","16,50345","14,05295","14,94746","16,83492"
"0,811711","13,41454","12,48909","15,12189","12,90604","14,36101","12,75264","16,31581","13,78077","14,70826","16,63337"
"0,809714","13,20174","12,30227","14,97961","12,66232","14,19191","12,51507","16,14671","13,516","14,52764","16,42511"
"0,807718","12,98027","12,04865","14,77547","12,36415","13,99399","12,24909","15,93845","13,25122","14,30533","16,17714"
"0,805721","12,83181","11,83214","14,64764","12,17362","13,85376","12,113","15,84153","13,09532","14,16553","16,01888"
"0,803725","12,59674","11,55251","14,4538","11,95957","13,65786","11,84204","15,63741","12,84912","13,94303","15,76472"
"0,801728","12,39136","11,34096","14,2641","11,78511","13,49083","11,60573","15,45802","12,5955","13,72466","15,58586"
"0,799732","12,16","11,12692","14,10736","11,51914","13,29905","11,35085","15,2786","12,30723","13,51805","15,35904"
"0,797735","11,98926","10,91907","13,9486","11,26796","13,14853","11,1195","15,10541","12,08699","13,34237","15,1518"
"0,795739","11,821","10,6778","13,80426","11,04897","12,99387","10,96362","14,99407","11,90761","13,17926","14,9755"
"0,793742","11,64036","10,45388","13,65991","10,88565","12,8516","10,75081","14,84147","11,71459","13,01595","14,77961"
"0,791746","11,42755","10,21631","13,45784","10,69391","12,66603","10,4848","14,65383","11,44118","12,77675","14,57701"
"0,78975","11,20238","10,00849","13,30732","10,43778","12,4887","10,24107","14,48473","11,15414","12,57612","14,36307"
"0,787753","11,05143","9,820419","13,17326","10,20768","12,36083","10,03445","14,33626","10,94751","12,42146","14,17851"
"0,785757","10,91659","9,598946","13,05989","10,00972","12,23919","9,893419","14,25174","10,79039","12,2831","14,02696"
"0,78376","10,70504","9,332959","12,88874","9,801865","12,06392","9,642257","14,07851","10,56523","12,08926","13,80118"
"0,781764","10,53058","9,131284","12,72789","9,650919","11,92367","9,418324","13,92797","10,32396","11,88822","13,63364"
"0,779767","10,32149","8,918486","12,59178","9,404716","11,76284","9,175831","13,77743","10,04435","11,695","13,43001"
"0,777771","10,19281","8,744027","12,48043","9,193149","11,65356","8,981574","13,64961","9,846392","11,56078","13,26349"
"0,775775","10,02082","8,475541","12,3402","8,951878","11,49684","8,794757","13,53207","9,641027","11,38076","13,07429"
"0,773778","9,838973","8,239243","12,2062","8,774973","11,36076","8,583189","13,40216","9,441811","11,21951","12,87583"
"0,771781","9,689284","8,046243","12,06392","8,645061","11,24732","8,21977","13,27225","9,224081","11,03786","12,73149"
"0,769785","9,478946","7,811169","11,92986","8,401338","11,07824","7,92023","13,12376","8,928392","10,83782","12,52426"
"0,767789","9,330486","7,619405","11,80822","8,172432","10,96486","7,740209","12,98563","8,705676","10,68565","12,33455"
"0,765792","9,203041","7,388034","11,69892","7,979432","10,85349","7,602878","12,91552","8,541149","10,54254","12,18505"
"0,763796","9,021176","7,130709","11,56901","7,797568","10,71122","7,374878","12,78356","8,335757","10,37262","11,97987"
"0,761799","8,913541","6,964919","11,46593","7,718399","10,63701","7,221324","12,69074","8,152649","10,2287","11,8608"
"0,759803","8,680932","6,522791","11,30097","7,306581","10,45552","6,961007","12,52167","7,840858","9,996311","11,6283"
"0,757806","8,559676","6,298004","11,20198","6,92198","10,35243","6,787318","12,40414","7,641669","9,808128","11,45509"
"0,75581","8,437203","6,116868","11,08856","6,705724","10,23694","6,645035","12,32579","7,488264","9,640453","11,2958"
"0,753814","8,292446","5,910747","10,98547","6,599692","10,12147","6,472072","12,22887","7,327419","9,505757","11,11126"
"0,751817","8,153892","5,721945","10,8432","6,551814","10,0163","6,300093","12,09689","7,009649","9,332581","10,95969"
"0,749821","8,000473","5,556905","10,74009","6,41225","9,886399","6,137543","11,98761","6,749716","9,165676","10,78132"
"0,747824","7,894068","5,428112","10,64318","6,280626","9,795676","6,008123","11,87421","6,448141","9,047892","10,61224"
"0,745827","7,813649","5,139401","10,55655","6,148341","9,700831","5,944269","11,81647","6,312288","8,942858","10,47668"
"0,743831","7,657757","4,886762","10,42459","5,996173","9,570926","5,786528","11,69275","6,224815","8,715372","10,26943"
"0,741835","7,574865","4,612411","10,32353","6,001496","9,496709","5,530738","11,60407","6,154909","8,57202","10,1555"
"0,739838","7,441236","4,311705","10,22662","5,716132","9,372953","5,391801","11,49892","6,023772","8,447736","9,995182"
"0,737842","7,353419","4,246626","10,14417","5,56223","9,288426","5,354427","11,38552","5,910699","8,36575","9,839493"
"0,735845","7,260628","4,175364","10,02455","5,474999","9,181169","5,301112","11,30509","5,830511","8,251601","9,689493"
"0,733849","7,150486","4,086038","9,937953","5,425136","9,078088","5,244704","11,22674","5,805032","8,167899","9,536892"
"0,731853","7,061412","4,001164","9,812182","5,417089","8,993534","5,181722","11,11331","5,580408","8,057432","9,360547"
"0,729856","6,97852","3,951273","9,758561","5,386316","8,919304","5,024535","11,05559","5,471665","7,98525","9,24323"
"0,72786","6,879541","3,918518","9,659574","5,309454","8,814142","4,902158","10,93184","5,41035","7,905324","9,086628"
"0,725863","6,812736","3,680165","9,554412","5,21828","8,719304","4,875805","10,85349","5,378615","7,837615","8,971405"
"0,723867","6,721186","3,565353","9,469865","5,154442","8,628561","4,846989","10,7875","5,373541","7,780831","8,844541"
"0,72187","6,648189","3,56028","9,368831","5,162973","8,554324","4,811227","10,69059","5,346701","7,70177","8,75448"
"0,719874","6,545501","3,530959","9,28223","5,113231","8,451236","4,774235","10,60603","5,283601","7,61975","8,652041"
"0,717877","6,329055","3,540734","9,222432","5,059046","8,38525","4,740712","10,51534","5,224839","7,593081","8,475824"
"0,715881","6,194316","3,491368","9,09252","4,952149","8,271845","4,653485","10,41428","5,165196","7,512655","8,328128"
"0,713884","6,171796","3,478746","9,045088","4,910082","8,20998","4,641858","10,38543","5,174539","7,499365","8,253365"
"0,711888","6,084327","3,400309","8,898696","4,866405","8,102723","4,544859","10,24728","4,968912","7,388095","8,135162"
"0,709892","5,881989","3,395977","8,845088","4,847111","8,028514","4,533231","10,19365","4,88912","7,338858","8,077743"
"0,707895","5,785728","3,412341","8,803851","4,610495","7,976959","4,363666","10,12559","4,882307","7,336784","7,992689"
"0,705899","5,407014","3,360965","8,678041","4,454354","7,865628","4,216562","10,02043","4,821562","7,254216","7,873716"
"0,703902","5,275249","3,31197","8,601757","4,427138","7,779007","4,199736","9,966824","4,809809","7,203912","7,766426"
"0,701906","5,291209","3,280173","8,504818","4,431845","7,717142","4,156681","9,87198","4,794709","7,145142","7,684669"
"0,699909","5,244442","3,247511","8,430608","4,404004","7,632615","4,11833","9,799797","4,744112","7,074561","7,56402"
"0,697913","5,232966","3,265389","8,426486","4,386772","7,603736","4,115728","9,760608","4,736442","7,084655","7,480142"
"0,695917","5,123689","3,199385","8,271831","4,266581","7,469709","4,001782","9,634818","4,623854","6,980155","7,341615"
"0,69392","5,082736","3,163751","8,212027","4,19875","7,405791","3,788424","9,601845","4,619399","6,857392","7,261676"
"0,691923","5,023724","3,112408","8,108953","4,168438","7,333601","3,678435","9,496689","4,586491","6,758635","7,177797"
"0,689927","4,95778","3,085311","8,049149","4,141581","7,267635","3,670889","9,438919","4,543189","6,715828","7,128676"
"0,687931","4,921778","3,111914","8,034703","4,122032","7,23052","3,659659","9,395628","4,513868","6,728709","7,062845"
"0,685934","4,813645","3,036319","7,904797","4,000231","7,115047","3,575376","9,28223","4,422808","6,641589","6,937318"
"0,683938","4,754507","2,976685","7,830574","3,912461","7,032541","3,535659","9,243041","4,390392","6,586667","6,839824"
"0,681941","4,710832","2,942538","7,758378","3,902558","6,995432","3,49118","9,162635","4,377524","6,538609","6,77225"
"0,679945","4,446376","2,873872","7,663534","3,835619","6,896466","3,411569","9,073966","4,295992","6,441871","6,690479"
"0,677948","4,376596","2,890699","7,384223","3,812112","6,863459","3,388182","9,028601","4,114676","6,445781","6,625382"
"0,675952","4,324634","2,831065","7,192676","3,696182","6,764493","3,297001","8,929615","3,990832","6,363268","6,513779"
"0,673956","4,284795","2,776255","7,176791","3,627776","6,700566","3,259389","8,902838","3,987986","6,313411","6,428613"
"0,671959","4,200664","2,68767","7,089162","3,568142","6,618083","3,171299","8,781149","3,942828","6,217853","6,318089"
"0,669963","4,152661","2,656862","7,05327","3,544631","6,558282","3,124038","8,733716","3,914249","6,07808","6,21383"
"0,667966","4,109234","2,657977","7,053689","3,512595","6,517056","3,089024","8,690405","3,876636","6,047884","6,121489"
"0,665969","4,055662","2,627912","6,985426","3,428953","6,231157","3,026543","8,612068","3,820591","6,011867","6,055048"
"0,663973","3,966459","2,535246","6,881101","3,317228","6,042885","2,949712","8,550209","3,752914","5,932808","5,950087"
"0,661977","3,895568","2,466703","6,788297","3,279369","6,019176","2,885501","8,45948","3,711469","5,869839","5,863014"
"0,65998","3,842985","2,430947","6,740478","3,256728","5,994624","2,834035","8,41","3,67398","5,807998","5,747116"
"0,657984","3,800178","2,427361","6,732225","3,226539","5,723789","2,799514","8,364622","3,632164","5,796782","5,489332"
"0,655987","3,717901","2,368468","6,637358","3,114447","5,572221","2,708084","8,263568","3,54432","5,721171","5,341323"
"0,653991","3,667919","2,311557","6,563964","3,044297","5,557374","2,673688","8,240912","3,506461","5,670024","5,30504"
"0,651995","3,568942","2,214062","6,44766","2,97353","5,497989","2,578796","8,127493","3,437177","5,577278","5,218271"
"0,649998","3,547291","2,203301","6,42909","2,982685","5,483347","2,557145","8,094493","3,42827","5,537395","5,217563"
"0,648002","3,475778","2,162596","6,130421","2,918843","5,438603","2,494293","8,024392","3,354531","5,411088","5,14353"
"0,646005","3,41132","2,125478","5,976802","2,826178","5,382723","2,421422","7,943953","3,281658","5,34053","5,065784"
"0,644009","3,37012","2,080072","5,975563","2,762831","5,331378","2,391232","7,683439","3,251966","5,307383","4,997947"
"0,642012","3,276709","1,977878","5,899272","2,487118","5,240236","2,30005","7,504027","3,185032","5,224386","4,893041"
"0,640016","3,222024","1,931482","5,847293","2,428226","5,181059","2,247097","7,489601","3,14272","5,160839","4,854431"
"0,638019","3,159422","1,903893","5,827707","2,428597","5,137345","2,193897","7,476601","3,079992","5,127368","4,78793"
"0,636023","3,093601","1,861331","5,759865","2,36525","4,835768","2,115334","7,392284","3,004645","4,930949","4,701322"
"0,634026","3,085314","1,851681","5,739255","2,336116","4,749989","2,12152","7,406486","3,007739","4,866926","4,672196"
"0,63203","2,947981","1,722639","5,593867","2,257551","4,662556","1,985424","7,273507","2,891193","4,776449","4,52332"
"0,630034","2,915566","1,674016","5,548311","2,221116","4,653899","1,951774","7,233709","2,874243","4,742713","4,500997"
"0,628037","2,881172","1,670553","5,539032","2,206763","4,638434","1,925792","7,215142","2,836135","4,729431","4,464552"
"0,626041","2,807062","1,616364","5,461295","2,109518","4,572034","1,839929","7,111845","2,746934","4,676913","4,374286"
"0,624044","2,767595","1,571945","5,40664","2,04741","4,530178","1,811473","7,085446","2,715632","4,508207","4,315468"
"0,622048","2,669112","1,461092","5,302703","1,949051","4,433674","1,718682","6,985243","2,640161","4,383248","4,202572"
"0,620051","2,61752","1,413707","5,230957","1,934701","4,387279","1,663501","6,924595","2,60255","4,34815","4,167053"
"0,618055","2,594384","1,401798","5,236736","1,935195","4,370574","1,647788","6,917378","2,576568","4,348028","4,018484"
"0,616059","2,482045","1,32512","5,124147","1,816576","4,258403","1,524316","6,777784","2,451238","4,255114","3,858882"
"0,614062","2,464105","1,299016","5,082482","1,750355","4,226234","1,511077","6,765","2,43268","4,234826","3,846974"
"0,612065","2,388882","1,213401","5,002493","1,68107","4,155505","1,446618","6,689529","2,383314","4,174427","3,778567"
"0,610069","2,350651","1,178265","4,95113","1,677112","4,121689","1,404799","6,64087","2,362034","4,130583","3,620874"
"0,608073","2,276295","1,124568","4,900207","1,616241","4,051167","1,303045","6,582297","2,284214","4,058559","3,526948"
"0,606076","2,205157","1,079286","4,83011","1,528396","3,976728","1,144581","6,484572","2,19835","4,003854","3,476582"
"0,60408","2,163832","1,02782","4,768437","1,458865","3,927032","1,149396","6,442924","2,156408","3,956096","3,443332"
"0,602083","2,132655","0,989466","4,730079","1,395711","3,892804","1,15047","6,408892","2,149111","3,932239","3,411164"
"0,600087","2,042709","0,894695","4,618336","1,326949","3,80991","1,065486","6,305998","2,07265","3,838911","3,333891"
"0,59809","1,969219","0,840753","4,566782","1,242705","3,735883","1,003874","6,251552","1,997303","3,760945","3,272442"
"0,596094","1,913789","0,813286","4,521628","1,194552","3,685157","0,943261","6,167432","1,927276","3,725808","3,21357"
"0,594098","1,877664","0,721476","4,45914","1,137653","3,631957","0,910053","6,129289","1,885953","3,679434","3,17032"
"0,592101","1,813823","0,572035","4,390892","1,039226","3,568858","0,858511","5,822959","1,845745","3,625223","3,097838"
"0,590105","1,77943","0,581548","4,330678","0,959141","3,536277","0,819749","5,699241","1,826443","3,583592","3,067373"
"0,588108","1,674761","0,517262","4,25273","0,917868","3,432971","0,716009","5,668113","1,71633","3,472036","2,978345"
"0,586112","1,645561","0,527668","4,22984","0,906375","3,401216","0,681774","5,646056","1,673274","3,462428","2,9453"
"0,584115","1,561184","0,41484","4,121583","0,800332","3,304919","0,598338","5,558407","1,585928","3,235141","2,855861"
"0,582119","1,513303","0,288235","4,065495","0,759763","3,257079","0,561889","5,518401","1,560566","3,159341","2,80333"
"0,580122","1,488064","0,296735","4,021576","0,769166","3,235018","0,534164","5,482926","1,551534","3,160082","2,786164"
"0,578126","1,390323","0,231545","3,941777","0,688316","3,138309","0,438699","5,40932","1,452926","3,074322","2,702497"
"0,576129","1,324751","0,203484","3,886928","0,610332","3,070054","0,362994","5,328293","1,371519","3,022874","2,634758"
"0,574133","1,26883","0,146958","3,80589","0,523219","3,002626","0,277707","5,250345","1,303842","2,966044","2,573364"
"0,572137","1,215876","0,084997","3,746914","0,465045","2,945302","0,162236","5,195912","1,272665","2,922392","2,514594"
"0,57014","1,239011","0,11297","3,747122","0,523814","2,96984","0,218036","5,200847","1,314359","2,951878","2,5447"
"0,568144","1,084482","-0,03349","3,606701","0,380197","2,818279","0,08611","5,063318","1,156489","2,791247","2,406749"
"0,566147","1,029675","-0,05743","3,568961","0,319139","2,760128","0,035507","4,998164","1,085597","2,743428","2,351797"
"0,564151","0,979073","-0,11811","3,240378","0,232536","2,692703","-0,01343","4,916917","1,022005","2,683012","2,294782"
"0,562154","0,932305","-0,17633","3,121191","0,177765","2,642802","-0,04303","4,867216","0,994785","2,645049","2,243489"
"0,560158","0,906572","-0,20647","3,13109","0,183727","2,618674","-0,07114","4,818755","0,984269","2,620057","2,223486"
"0,558161","0,792624","-0,31252","3,045516","0,090318","2,505261","-0,18274","4,722883","0,867352","2,497489","2,125384"
"0,556165","0,728413","-0,34551","3,005304","0,02253","2,437836","-0,25168","4,652964","0,787676","2,441546","2,065586"
"0,554168","0,690183","-0,38762","2,962209","-0,04947","2,389171","-0,31635","4,581829","0,740909","2,399914","2,025378"
"0,552172","0,609516","-0,48328","2,878698","-0,18447","2,301122","-0,38718","4,499759","0,673109","2,319909","1,937586"
"0,550176","0,570203","-0,52652","2,858489","-0,23127","2,29164","-0,43641","4,465117","0,680903","2,314133","1,938928"
"0,548179","0,434546","-0,70081","2,751468","-0,26957","2,182144","-0,52182","4,367583","0,568317","2,194597","1,847372"
"0,546183","0,264653","-0,92476","2,694971","-0,31854","2,115333","-0,58173","4,299331","0,489257","2,133996","1,786851"
"0,544186","0,244499","-0,89195","2,605066","-0,40826","2,02811","-0,64995","4,192518","0,398199","2,052359","1,708753"
"0,54219","0,227018","-0,89397","2,544649","-0,46384","1,965218","-0,68087","4,135608","0,359103","2,005716","1,654057"
"0,540193","0,217292","-0,89816","2,505264","-0,45831","1,939649","-0,71178","4,084468","0,349824","1,98128","1,632457"
"0,538197","0,167457","-0,92899","2,445464","-0,48926","1,878405","-0,81221","4,03457","0,263149","1,913358","1,590261"
"0,5362","0,062343","-0,99768","2,347311","-0,64336","1,768295","-0,98162","3,92693","0,0363","1,794899","1,475989"
"0,534204","-0,00743","-1,06303","2,257203","-0,80762","1,681482","-1,00069","3,814135","-0,09428","1,670399","1,349191"
"0,532207","-0,04153","-1,10973","2,208536","-0,80069","1,631581","-1,04361","3,769599","-0,10205","1,65367","1,326616"
"0,530211","-0,05517","-1,12566","2,182349","-0,76585","1,618383","-1,12956","3,504934","-0,13838","1,655297","1,314897"
"0,528215","-0,16057","-1,21661","2,070381","-0,82578","1,509714","-1,16989","3,30987","-0,18944","1,543072","1,226255"
"0,526218","-0,27001","-1,25437","2,01079","-0,88359","1,435277","-1,33734","3,27873","-0,24082","1,47547","1,176376"
"0,524222","-0,42525","-1,33189","1,898613","-1,11552","1,328257","-1,48974","3,181608","-0,34195","1,372128","1,089924"
"0,522225","-0,40074","-1,35239","1,875931","-1,19295","1,305986","-1,43798","3,183257","-0,36471","1,344016","1,07862"
