Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"-0,306302","-20,8935","-23,217","-21,9596","-21,5567","-26,2197","-23,0524","-22,3741","-26,5996","-28,2464","-29,5768"
"-0,304305","-20,6845","-23,0042","-21,8132","-21,3636","-25,995","-22,8334","-22,2009","-26,3595","-28,0214","-29,3464"
"-0,302309","-20,5557","-22,8657","-21,6853","-21,2276","-25,863","-22,6764","-22,0916","-26,1851","-27,8467","-29,1551"
"-0,300312","-20,4246","-22,7505","-21,5142","-21,0939","-25,6939","-22,5093","-21,9782","-25,9933","-27,6549","-28,9591"
"-0,298316","-20,2861","-22,5811","-21,3657","-20,9108","-25,5434","-22,3547","-21,8359","-25,8362","-27,5046","-28,7947"
"-0,296319","-20,1252","-22,3732","-21,2214","-20,7562","-25,3949","-22,205","-21,64","-25,668","-27,3609","-28,622"
"-0,294323","-19,9532","-22,1901","-21,11","-20,6053","-25,2052","-22,0206","-21,5039","-25,4675","-27,1638","-28,4297"
"-0,292326","-19,7961","-22,0243","-20,9574","-20,4357","-25,0465","-21,8326","-21,3636","-25,2634","-26,9679","-28,2143"
"-0,29033","-19,7082","-21,9539","-20,8214","-20,3442","-24,9186","-21,7101","-21,2915","-25,1099","-26,8204","-28,0637"
"-0,288333","-19,5635","-21,7769","-20,6626","-20,1524","-24,7639","-21,5381","-21,1451","-24,9405","-26,6518","-27,8957"
"-0,286337","-19,4027","-21,5641","-20,5224","-20,0015","-24,6196","-21,3921","-20,9512","-24,7722","-26,5114","-27,7245"
"-0,284341","-19,2282","-21,3834","-20,4069","-19,8407","-24,4257","-21,2041","-20,807","-24,5668","-26,3204","-27,5358"
"-0,282344","-19,0983","-21,2424","-20,2852","-19,7021","-24,2959","-21,0395","-20,6955","-24,3862","-26,1453","-27,3493"
"-0,280348","-18,9746","-21,1335","-20,112","-19,5734","-24,133","-20,8786","-20,5822","-24,1944","-25,9632","-27,1672"
"-0,278351","-18,8595","-20,995","-19,9924","-19,4175","-24,0093","-20,7475","-20,4749","-24,0571","-25,8327","-27,0301"
"-0,276355","-18,6715","-20,7549","-19,8171","-19,2295","-23,8443","-20,5657","-20,2564","-23,8653","-25,6624","-26,8368"
"-0,274358","-18,5527","-20,6263","-19,7511","-19,128","-23,6999","-20,432","-20,1574","-23,7094","-25,5286","-26,6997"
"-0,272362","-18,4104","-20,4778","-19,6213","-18,9783","-23,5597","-20,265","-20,0398","-23,5226","-25,3498","-26,51"
"-0,270365","-18,2818","-20,3627","-19,448","-18,8434","-23,3968","-20,093","-19,9223","-23,3284","-25,1632","-26,3213"
"-0,268369","-18,1605","-20,2267","-19,312","-18,6764","-23,2607","-19,9483","-19,8109","-23,1749","-25,0186","-26,177"
"-0,266372","-18,0145","-20,0299","-19,1799","-18,5329","-23,137","-19,8184","-19,6295","-23,0327","-24,8961","-26,0285"
"-0,264376","-17,8697","-19,8753","-19,0872","-18,4067","-22,9803","-19,6613","-19,5099","-22,8557","-24,7444","-25,8697"
"-0,26238","-17,7386","-19,7367","-18,9717","-18,262","-22,8442","-19,5053","-19,4047","-22,6776","-24,579","-25,6919"
"-0,260383","-17,5716","-19,5821","-18,7552","-18,0863","-22,6524","-19,3024","-19,2563","-22,4425","-24,3586","-25,4686"
"-0,258387","-17,5084","-19,5165","-18,6872","-17,991","-22,5679","-19,222","-19,2068","-22,3608","-24,2781","-25,3846"
"-0,25639","-17,3476","-19,2975","-18,5305","-17,8203","-22,4339","-19,0773","-19,0089","-22,1939","-24,1455","-25,2186"
"-0,254394","-17,2215","-19,1651","-18,4562","-17,7151","-22,2916","-18,9474","-18,9078","-22,0392","-24,0124","-25,0846"
"-0,252398","-17,0755","-19,0117","-18,3345","-17,5592","-22,1534","-18,7803","-18,7923","-21,8598","-23,8365","-24,9042"
"-0,250401","-16,9394","-18,8917","-18,1531","-17,4268","-21,9884","-18,6109","-18,6707","-21,6643","-23,6497","-24,7181"
"-0,248404","-16,8429","-18,7976","-18,0355","-17,2821","-21,8689","-18,4933","-18,5861","-21,5455","-23,5331","-24,6062"
"-0,246408","-16,6993","-18,6022","-17,9036","-17,1361","-21,7575","-18,3671","-18,4149","-21,4156","-23,4186","-24,4732"
"-0,244411","-16,5447","-18,4401","-17,8005","-17,0086","-21,5864","-18,2174","-18,2809","-21,2523","-23,2626","-24,3247"
"-0,242415","-16,437","-18,3325","-17,7118","-16,8886","-21,475","-18,0851","-18,1922","-21,1174","-23,1268","-24,1851"
"-0,240419","-16,3022","-18,2112","-17,5303","-16,7526","-21,3142","-17,9267","-18,0726","-20,938","-22,9476","-24,0036"
"-0,238422","-16,1872","-18,1036","-17,3964","-16,6004","-21,1781","-17,7918","-17,9881","-20,8119","-22,8116","-23,8773"
"-0,236426","-16,0325","-17,8982","-17,2499","-16,4346","-21,0544","-17,6594","-17,7964","-20,6782","-22,6875","-23,736"
"-0,234429","-15,9211","-17,7893","-17,1859","-16,3566","-20,9327","-17,558","-17,7015","-20,5657","-22,5887","-23,6366"
"-0,232433","-15,7838","-17,6557","-17,0788","-16,2144","-20,7945","-17,4083","-17,6149","-20,4184","-22,4349","-23,4793"
"-0,230437","-15,6576","-17,5431","-16,9055","-16,0907","-20,6399","-17,2524","-17,4953","-20,2526","-22,2604","-23,3118"
"-0,22844","-15,5265","-17,4268","-16,7509","-15,9199","-20,4832","-17,1051","-17,3901","-20,1091","-22,1066","-23,1726"
"-0,226444","-15,4089","-17,2685","-16,6396","-15,8036","-20,4048","-17,0186","-17,2602","-20,0299","-22,0309","-23,0721"
"-0,224447","-15,2914","-17,1447","-16,5612","-15,7157","-20,2687","-16,9084","-17,1489","-19,9136","-21,9208","-22,9556"
"-0,22245","-15,1466","-17,0024","-16,4457","-15,5685","-20,1223","-16,7464","-17,0437","-19,7553","-21,7598","-22,7855"
