,Potencial (V),Paciente A (1),Paciente A (2),Paciente A (3),Paciente B (1),Paciente B (2),Paciente B (3),Paciente C (1),Paciente C (2),Paciente C (3),Paciente D (1),Paciente D (2),Paciente E (1),Paciente E(2),Paciente E (3),Paciente F (1),Paciente F (2),Paciente F (3),Paciente G (1),Paciente G (2),Paciente G (3),Paciente H (1),Paciente H (2),Paciente H (3),Paciente I (1),Paciente I (2),Paciente I (3)
103,-0.294322729,-16.71321392,-17.37239361,-15.15679359,-18.9471,-14.818,-15.0469,-14.0032053,-12.01648712,-11.68687344,-14.287,-15.2483,-15.8343,-14.7906,-16.5026,-9.747028351,-12.47206926,-13.26582432,-18.20966005,-18.99716854,-12.96582222,-20.9471941,-23.04097414,-20.02843618,-18.0472,-15.5846,-16.4534
104,-0.292326301,-16.55757427,-17.19844341,-14.9828434,-18.7274,-14.6349,-14.873,-13.82009983,-11.80591583,-11.52207851,-14.1131,-15.0836,-15.6695,-14.5891,-16.3104,-9.615778923,-12.38456964,-13.11582327,-18.04715395,-18.84092093,-12.83457279,-20.81594467,-22.87222147,-19.83468533,-17.9034,-15.4159,-16.2909
105,-0.290329874,-16.45686626,-17.07942486,-14.85466957,-18.5809,-14.5159,-14.7631,-13.691926,-11.65940762,-11.42137051,-14.0124,-14.9737,-15.5505,-14.461,-16.2005,-9.422016144,-12.1845603,-12.94082403,-17.77215004,-18.61591339,-12.6470685,-20.59719563,-22.66597748,-19.6534276,-17.6909,-15.2596,-16.0909
106,-0.288333476,-16.2920475,-16.92378521,-14.70816135,-18.3887,-14.3511,-14.5983,-13.51797581,-11.43968105,-11.27488613,-13.8567,-14.8455,-15.3765,-14.2687,-16.0357,-9.297013283,-12.05955744,-12.85332441,-17.63464212,-18.51590872,-12.47206926,-20.47843933,-22.53471613,-19.52842474,-17.5596,-15.1159,-15.9846
107,-0.286337048,-16.12725258,-16.74983501,-14.53421116,-18.1598,-14.1772,-14.4427,-13.32571507,-11.23826504,-11.11924648,-13.7011,-14.699,-15.2209,-14.0948,-15.8617,-9.1345191,-11.90955639,-12.6470685,-17.38464832,-18.30965281,-12.32206821,-20.30968666,-22.3347187,-19.33467388,-17.3909,-14.9534,-15.7971
108,-0.28434062,-15.99907875,-16.58504009,-14.36026096,-17.9492,-14.0032,-14.2779,-13.14258575,-11.02769375,-10.95445156,-13.5363,-14.5342,-15.0652,-13.8933,-15.7061,-9.034514427,-11.75330877,-12.52832413,-17.21589565,-18.128407,-12.12831736,-20.14093399,-22.14721441,-19.17841434,-17.2034,-14.8096,-15.6034
109,-0.282344222,-15.8800602,-16.44771099,-14.22293186,-17.8027,-13.8476,-14.1405,-12.98694611,-10.84458828,-10.83543301,-13.399,-14.4152,-14.9188,-13.7285,-15.5779,-8.815765381,-11.59704924,-12.32831478,-16.94713831,-17.99089909,-11.94705963,-19.96593475,-21.97221518,-18.99716854,-17.0096,-14.6846,-15.4221
110,-0.280347794,-15.71526527,-16.27373695,-14.04898167,-17.5738,-13.6736,-13.9666,-12.80384064,-10.63401699,-10.65232754,-13.2341,-14.2596,-14.7448,-13.5546,-15.3948,-8.709514141,-11.46579981,-12.20331192,-16.80338383,-17.79090166,-11.83456182,-19.86593008,-21.79095745,-18.84092093,-16.8971,-14.5283,-15.3409
111,-0.278351367,-15.60540199,-16.17302895,-13.93911839,-17.4273,-13.5546,-13.8476,-12.67566681,-10.47837734,-10.56993008,-13.1334,-14.168,-14.6441,-13.399,-15.285,-8.572006226,-11.31579876,-12.04080582,-16.59088135,-17.60339737,-11.62205935,-19.67842579,-21.60345316,-18.68466139,-16.6909,-14.3721,-15.1159
112,-0.276354939,-15.42229652,-15.96245766,-13.71939182,-17.1618,-13.3257,-13.637,-12.4376297,-10.21287441,-10.36851406,-12.932,-13.9757,-14.4427,-13.1609,-15.0744,-8.384501934,-11.22829914,-11.91581488,-16.4408803,-17.45339632,-11.52830124,-19.54717636,-21.44720554,-18.50966215,-16.5471,-14.2096,-14.9971
113,-0.274358124,-15.31243324,-15.86174965,-13.61868382,-17.0428,-13.225,-13.5638,-12.31861115,-10.08467674,-10.2861166,-12.8313,-13.8933,-14.3236,-13.051,-14.9828,-8.265757561,-11.04704142,-11.74706221,-16.18462801,-17.29089022,-11.30330563,-19.34716702,-21.27220631,-18.30340624,-16.3721,-14.0221,-14.7846
114,-0.272361696,-15.20256996,-15.72442055,-13.49050999,-16.8597,-13.0602,-13.4173,-12.1629715,-9.883260727,-10.14876366,-12.694,-13.7743,-14.1955,-12.8862,-14.8363,-8.134496212,-10.95329523,-11.64079905,-16.05962515,-17.17213392,-11.19704247,-19.20967102,-21.09719515,-18.20340157,-16.2409,-13.9471,-14.7284
115,-0.270365298,-15.03777504,-15.54131508,-13.29824924,-16.64,-12.8679,-13.225,-11.96155548,-9.663534164,-9.974813461,-12.52,-13.6095,-14.0215,-12.6757,-14.6441,-7.984495163,-10.80954075,-11.46579981,-15.85336924,-16.94713831,-11.05954647,-19.06591654,-20.90344429,-18.04090738,-16.0971,-13.7846,-14.5033
116,-0.26836887,-14.90960121,-15.41314125,-13.1608963,-16.466,-12.7306,-13.0877,-11.80591583,-9.471273422,-9.846639633,-12.3919,-13.4905,-13.875,-12.5109,-14.5159,-7.815742493,-10.67204475,-11.34079695,-15.67211151,-16.80963039,-10.85329056,-18.90966892,-20.80343962,-17.88464785,-15.9409,-13.6533,-14.3721
117,-0.266372442,-14.78140354,-15.27581215,-13.0235672,-16.2829,-12.575,-12.9503,-11.65025234,-9.288167953,-9.700155258,-12.2454,-13.3623,-13.7285,-12.3461,-14.3694,-7.65324831,-10.4970336,-11.20330095,-15.45336246,-16.65338278,-10.68453789,-18.74091625,-20.58469057,-17.7346468,-15.7409,-13.4658,-14.1971
118,-0.264376044,-14.65322971,-15.14763832,-12.87708282,-16.1181,-12.4193,-12.813,-11.48545742,-9.095907211,-9.57198143,-12.1172,-13.2433,-13.5912,-12.1813,-14.2504,-7.59074688,-10.37828922,-11.07205153,-15.25961161,-16.49712324,-10.52203178,-18.60966682,-20.40344477,-17.58464575,-15.6096,-13.3471,-14.0658
