V;A1;A2;A3
-0,086692;-96,2463;-95,7244;-95,7153
-0,0886885;-95,5138;-94,9645;-94,9554
-0,0906849;-94,818;-94,2229;-94,2229
-0,0926814;-94,1222;-93,4997;-93,4997
-0,0946778;-93,4447;-92,7947;-92,8038
-0,0966743;-92,7672;-92,0897;-92,108
-0,0986707;-92,108;-91,4031;-91,4122
-0,100667;-91,458;-90,7256;-90,7439
-0,102664;-90,8354;-90,0755;-90,0938
-0,10466;-90,2129;-89,4255;-89,453
-0,106657;-89,5995;-88,7938;-88,8212
-0,108653;-88,986;-88,1712;-88,1895
-0,110649;-88,4092;-87,5578;-87,5853
-0,112646;-87,8233;-86,9535;-86,9902
-0,114642;-87,2557;-86,3676;-86,4042
-0,116639;-86,6789;-85,7816;-85,8183
-0,118635;-86,1387;-85,214;-85,2506
-0,120632;-85,5894;-84,6555;-84,6921
-0,122628;-85,0584;-84,097;-84,1428
-0,124625;-84,5365;-83,566;-83,6027
-0,126621;-84,0146;-83,0259;-83,0808
-0,128617;-83,5019;-82,504;-82,5498
-0,130614;-83,0076;-81,9821;-82,0371
-0,13261;-82,504;-81,4786;-81,5335
-0,134607;-82,0279;-80,9842;-81,0391
-0,136603;-81,5427;-80,4898;-80,5539
-0,1386;-81,0758;-79,9954;-80,0687
-0,140596;-80,6088;-79,5285;-79,5926
-0,142593;-80,1511;-79,0524;-79,1257
-0,144589;-79,6933;-78,5946;-78,6679
-0,146586;-79,2538;-78,1369;-78,2193
-0,148582;-78,8144;-77,6883;-77,7707
-0,150578;-78,3841;-77,2488;-77,3312
-0,152575;-77,9629;-76,8093;-76,9009
-0,154571;-77,5418;-76,3882;-76,4706
-0,156568;-77,1206;-75,967;-76,0494
-0,158564;-76,7178;-75,5459;-75,6283
-0,160561;-76,3149;-75,1339;-75,2255
-0,162557;-75,9121;-74,7219;-74,8135
-0,164554;-75,5184;-74,3282;-74,4198
-0,16655;-75,1339;-73,9345;-74,0352
-0,168546;-74,7494;-73,55;-73,6416
-0,170543;-74,374;-73,1655;-73,2662
-0,172539;-73,9986;-72,7901;-72,8908
-0,174536;-73,6324;-72,4147;-72,5154
-0,176532;-73,2662;-72,0485;-72,1492
-0,178529;-72,9091;-71,6823;-71,783
-0,180525;-72,5612;-71,3252;-71,426
-0,182522;-72,2133;-70,9682;-71,078
-0,184518;-71,8654;-70,6203;-70,7301
-0,186515;-71,5267;-70,2724;-70,3914
-0,188511;-71,1971;-69,9336;-70,0526
-0,190507;-70,8583;-69,604;-69,7139
-0,192504;-70,5379;-69,2744;-69,3843
-0,1945;-70,2083;-68,9448;-69,0639
-0,196497;-69,8878;-68,6244;-68,7434
-0,198493;-69,5766;-68,3131;-68,423
-0,20049;-69,2653;-67,9927;-68,1209
-0,202486;-68,9631;-67,6905;-67,8096
-0,204483;-68,6519;-67,3793;-67,4983
-0,206479;-68,3497;-67,0771;-67,1962
-0,208475;-68,0568;-66,775;-66,894
-0,210472;-67,7638;-66,482;-66,6011
-0,212468;-67,4708;-66,1891;-66,3172
-0,214465;-67,187;-65,8961;-66,0243
-0,216461;-66,9032;-65,6123;-65,7404
-0,218458;-66,6194;-65,3376;-65,4566
-0,220454;-66,3447;-65,0538;-65,182
-0,222451;-66,07;-64,7791;-64,9073
-0,224447;-65,7954;-64,5045;-64,6418
-0,226444;-65,539;-64,239;-64,3763
-0,22844;-65,2644;-63,9643;-64,1108
-0,230436;-65,008;-63,7079;-63,8453
-0,232433;-64,7517;-63,4424;-63,5889
-0,234429;-64,4862;-63,1861;-63,3234
-0,236426;-64,239;-62,9297;-63,0671
-0,238422;-63,9826;-62,6825;-62,8199
-0,240419;-63,7354;-62,4353;-62,5727
-0,242415;-63,4882;-62,179;-62,3255
-0,244412;-63,241;-61,9409;-62,0874
-0,246408;-63,003;-61,6938;-61,8494
-0,248404;-62,7649;-61,4557;-61,6022
-0,250401;-62,5269;-61,2177;-61,3733
-0,252397;-62,298;-60,9796;-61,1444
-0,254394;-62,06;-60,7507;-60,9155
-0,25639;-61,8311;-60,5127;-60,6775
-0,258387;-61,6022;-60,2838;-60,4486
-0,260383;-61,3825;-60,0641;-60,2197
-0,26238;-61,1536;-59,8352;-59,9908
-0,264376;-60,9339;-59,6246;-59,7711
-0,266373;-60,7141;-59,4049;-59,5514
-0,268369;-60,4944;-59,1852;-59,3408
-0,270365;-60,2838;-58,9746;-59,1302
-0,272362;-60,0732;-58,764;-58,9197
-0,274358;-59,8627;-58,5534;-58,7091
-0,276355;-59,6521;-58,3429;-58,4985
-0,278351;-59,4507;-58,1323;-58,2971
-0,280348;-59,2493;-57,9309;-58,0957
-0,282344;-59,0478;-57,7295;-57,8943
-0,284341;-58,8464;-57,5372;-57,7203
-0,286337;-58,645;-57,3358;-57,5097
-0,288333;-58,4527;-57,1344;-57,3083
-0,29033;-58,2513;-56,9421;-57,116
-0,292326;-58,0591;-56,7498;-56,9146
-0,294323;-57,8668;-56,5576;-56,7315
-0,296319;-57,6837;-56,3653;-56,5393
-0,298316;-57,4914;-56,173;-56,347
-0,300312;-57,3083;-55,9991;-56,1639
-0,302309;-57,1252;-55,8068;-55,9716
-0,304305;-56,9421;-55,6237;-55,7977
-0,306302;-56,759;-55,4406;-55,6146
-0,308298;-56,585;-55,2575;-55,4406
-0,310294;-56,4019;-55,0835;-55,2667
-0,312291;-56,228;-54,9096;-55,0835
-0,314287;-56,054;-54,7356;-54,9096
-0,316284;-55,8892;-54,5617;-54,7448
-0,31828;-55,7061;-54,3969;-54,58
-0,320277;-55,5322;-54,2229;-54,406
-0,322273;-55,3582;-54,049;-54,2412
-0,32427;-55,1934;-53,8842;-54,0673
-0,326266;-55,0286;-53,7194;-53,9025
-0,328262;-54,873;-53,5546;-53,7469
-0,330259;-54,7082;-53,3989;-53,5821
-0,332255;-54,5434;-53,2341;-53,4173
-0,334252;-54,3786;-53,0785;-53,2616
-0,336248;-54,2229;-52,9137;-53,106
-0,338245;-54,0673;-52,7581;-52,9503
-0,340241;-53,9117;-52,6024;-52,7947
-0,342238;-53,756;-52,4468;-52,639
-0,344234;-53,6004;-52,2911;-52,4834
-0,346231;-53,4539;-52,1355;-52,3369
-0,348227;-53,2982;-51,989;-52,1813
-0,350223;-53,1518;-51,8425;-52,0348
-0,35222;-53,0053;-51,696;-51,8883
-0,354216;-52,8496;-51,5496;-51,7418
-0,356213;-52,7123;-51,4031;-51,6045
-0,358209;-52,5887;-51,2566;-51,458
-0,360206;-52,5017;-51,1192;-51,3207
-0,362202;-52,2911;-50,9728;-51,1742
-0,364199;-52,1538;-50,8354;-51,0369
-0,366195;-52,0073;-50,6981;-50,8904
-0,368191;-51,87;-50,5608;-50,753
-0,370188;-51,7327;-50,4234;-50,6249
-0,372184;-51,5953;-50,2861;-50,4875
-0,374181;-51,458;-50,1579;-50,3502
-0,376177;-51,3298;-50,0206;-50,222
-0,378174;-51,1925;-49,8924;-50,0847
-0,38017;-51,0643;-49,7551;-49,9565
-0,382167;-50,9361;-49,6269;-49,8283
-0,384163;-50,808;-49,4987;-49,7002
-0,38616;-50,6798;-49,3706;-49,572
-0,388156;-50,5516;-49,2515;-49,4438
-0,390152;-50,4326;-49,1234;-49,3248
-0,392149;-50,3044;-48,9952;-49,2058
-0,394145;-50,1854;-48,8762;-49,0776
-0,396142;-50,0572;-48,748;-48,9586
-0,398138;-49,9382;-48,629;-48,8304
-0,400135;-49,8192;-48,51;-48,7205
-0,398138;-49,6086;-48,3177;-48,5191
-0,396142;-49,4347;-48,1529;-48,3543
-0,394145;-49,2699;-47,9881;-48,1987
-0,392149;-49,1051;-47,8416;-48,043
-0,390152;-48,9586;-47,686;-47,8965
-0,388156;-48,8029;-47,5486;-47,7501
-0,38616;-48,6564;-47,4022;-47,6036
-0,384163;-48,51;-47,2648;-47,4571
-0,382167;-48,3726;-47,1275;-47,3289
-0,38017;-48,2353;-46,9902;-47,1916
-0,378174;-48,098;-46,862;-47,0542
-0,376177;-47,9606;-46,7338;-46,9169
-0,374181;-47,8233;-46,5965;-46,7887
-0,372184;-47,686;-46,4683;-46,6606
-0,370188;-47,5578;-46,3401;-46,5415
-0,368191;-47,4296;-46,2119;-46,4134
-0,366195;-47,3014;-46,0929;-46,2852
-0,364199;-47,1733;-45,9648;-46,1662
-0,362202;-47,0451;-45,8457;-46,0472
-0,360206;-46,9261;-45,7176;-45,919
-0,358209;-46,7979;-45,5985;-45,8
-0,356213;-46,6789;-45,4795;-45,6809
-0,354216;-46,5599;-45,3605;-45,5619
-0,35222;-46,4408;-45,2415;-45,4429
-0,350223;-46,3218;-45,1225;-45,333
-0,348227;-46,2028;-45,0034;-45,214
-0,346231;-46,0838;-44,8936;-45,1041
-0,344234;-45,9648;-44,7745;-44,9851
-0,342238;-45,8457;-44,6647;-44,8753
-0,340241;-45,7359;-44,5548;-44,7654
-0,338245;-45,626;-44,4358;-44,6555
-0,336248;-45,507;-44,3259;-44,5457
-0,334252;-45,3971;-44,2161;-44,4358
-0,332255;-45,2873;-44,1062;-44,3259
-0,330259;-45,1774;-43,9963;-44,2161
-0,328262;-45,0675;-43,8956;-44,1154
-0,326266;-44,9577;-43,7858;-44,0146
-0,32427;-44,8478;-43,6759;-43,9048
-0,322273;-44,7471;-43,5752;-43,8041
-0,320277;-44,6372;-43,4653;-43,7034
-0,31828;-44,5274;-43,3646;-43,5935
-0,316284;-44,4266;-43,2547;-43,4928
-0,314287;-44,3259;-43,154;-43,3921
-0,312291;-44,2161;-43,0533;-43,2914
-0,310294;-44,1154;-42,9526;-43,1907
-0,308298;-44,0055;-42,8519;-43,09
-0,306302;-43,9048;-42,7512;-42,9984
-0,304305;-43,8041;-42,6505;-42,8977
-0,302309;-43,7034;-42,5498;-42,797
-0,300312;-43,6027;-42,4582;-42,6963
-0,298316;-43,5019;-42,3575;-42,6047
-0,296319;-43,4104;-42,2568;-42,504
-0,294323;-43,3097;-42,1653;-42,4033
-0,292326;-43,209;-42,0645;-42,3117
-0,29033;-43,1174;-41,973;-42,2202
-0,288333;-43,0167;-41,8814;-42,1195
-0,286337;-42,916;-41,7807;-42,0279
-0,284341;-42,8244;-41,6892;-41,9272
-0,282344;-42,7329;-41,5976;-41,8357
-0,280348;-42,6322;-41,5061;-41,7441
-0,278351;-42,5406;-41,4054;-41,6526
-0,276355;-42,4491;-41,3138;-41,561
-0,274358;-42,3575;-41,2314;-41,4694
-0,272362;-42,2568;-41,1307;-41,387
-0,270365;-42,1653;-41,0483;-41,2955
-0,268369;-42,0737;-40,9476;-41,2039
-0,266373;-41,9821;-40,8652;-41,1124
-0,264376;-41,8906;-40,7736;-41,0208
-0,26238;-41,799;-40,6821;-40,9384
-0,260383;-41,7075;-40,5997;-40,8469
-0,258387;-41,6251;-40,5081;-40,7645
-0,25639;-41,5335;-40,4257;-40,6821
-0,254394;-41,4511;-40,3342;-40,5905
-0,252397;-41,3596;-40,2518;-40,5081
-0,250401;-41,268;-40,1694;-40,4166
-0,248404;-41,1856;-40,0778;-40,3342
-0,246408;-41,0941;-39,9954;-40,2518
-0,244412;-41,0117;-39,9039;-40,1602
-0,242415;-40,9293;-39,8215;-40,0778
-0,240419;-40,8377;-39,7391;-39,9954
-0,238422;-40,7553;-39,6475;-39,913
-0,236426;-40,6638;-39,5651;-39,8306
-0,234429;-40,5814;-39,4827;-39,7391
-0,232433;-40,499;-39,4095;-39,6658
-0,230436;-40,4074;-39,3179;-39,5743
-0,22844;-40,325;-39,2447;-39,4919
-0,226444;-40,2426;-39,1531;-39,4186
-0,224447;-40,1602;-39,0707;-39,3362
-0,222451;-40,0778;-38,9975;-39,2538
-0,220454;-39,9954;-38,9059;-39,1714
-0,218458;-39,913;-38,8327;-39,089
-0,216461;-39,8306;-38,7594;-39,0066
-0,214465;-39,7482;-38,677;-38,9334
-0,212468;-39,6658;-38,6038;-38,8418
-0,210472;-39,5834;-38,5122;-38,7686
-0,208475;-39,501;-38,4298;-38,6862
-0,206479;-39,4186;-38,3566;-38,613
-0,204483;-39,3454;-38,2834;-38,5306
-0,202486;-39,263;-38,2101;-38,4573
-0,20049;-39,1806;-38,1369;-38,3749
-0,198493;-39,0982;-38,0545;-38,3017
-0,196497;-39,0249;-37,9812;-38,2193
-0,1945;-38,9425;-37,8988;-38,146
-0,192504;-38,8602;-37,8256;-38,0636
-0,190507;-38,7869;-37,7432;-37,9812
-0,188511;-38,7045;-37,6791;-37,908
-0,186515;-38,6221;-37,5967;-37,8347
-0,184518;-38,5489;-37,5143;-37,7523
-0,182522;-38,4665;-37,4319;-37,6791
-0,180525;-38,3841;-37,3495;-37,5967
