,min,max,mean,range,med,fQ,sQ,sd,dc,rms,freq_min,freq_max,freq_mean,freq_range,freq_med,freq_fQ,freq_sQ,freq_sd,label
17,0.11527025099970829,84256.77181606942,286.877155274618,83969.8946607948,8.212209455233154,0.11527025099980934,0.11527025100011248,3328.9728486995105,26794.347659436993,431176.36437775067,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
18,2.2052977666919324,81349.50199891855,273.0096449798251,81076.49235393872,10.088009994933978,2.205297766692219,2.205297766693078,3197.9728095635214,26129.691427790996,410333.49640467676,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
19,8.863466010634978,81914.39077331832,292.62327318117224,81621.76750013714,17.59880262817654,8.863466010635165,8.863466010635726,3244.960587448209,28654.889345428994,439812.779591301,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
20,3.1342316176145633,90441.2514843671,309.0164781508992,90132.2350062162,15.13116114322789,3.1342316176146685,3.1342316176149847,3553.7193014436616,27343.852643997994,464451.76666080125,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
21,4.164588869961871,96652.61463652359,325.6462250127088,96326.96841151088,13.561734361119598,4.164588869961898,4.164588869961983,3774.5382652296116,24801.923225717997,489446.2761941018,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
22,3.778063596560839,91145.78019234678,312.2984157152187,90833.48177663155,12.652788673880515,3.7780635965608544,3.778063596560902,3583.743222559432,26682.728144025998,469384.51881997404,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
23,3.56618552790988,84250.34604985308,294.94953383017526,83955.3965160229,12.213550731908454,3.566185527910235,3.5661855279113004,3338.788461315415,27042.243479229997,443309.1493467535,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
24,5.969976456829369,86817.70986154428,319.1397351013501,86498.57012644294,17.61841755100922,5.969976456829755,5.969976456830914,3466.7659285334407,30340.034454099994,479667.0218573299,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
25,2.300456661224106,85226.62666100991,306.62414347119284,84920.00251753871,13.45912191092691,2.300456661224189,2.3004566612244366,3409.028953925054,30751.206764999995,460856.08763720246,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
26,4.695776581761979,83527.6177507115,308.1465112489528,83219.47123946255,17.98992987271419,4.780785973946561,5.035814150500304,3318.9234354228643,25035.202372431755,462219.7668734294,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
27,0.6786856651394224,80071.50594264333,304.7220956830948,79766.78384696023,19.498370734820433,2.197709415962335,6.7547806684310725,3214.003915110941,26604.932146072388,457083.1435246436,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
28,1.8986465930878298,81109.42623408987,303.9232281913545,80805.50300589851,17.59664394820427,2.59021079282741,4.66490339204615,3247.2758643564084,26759.70463871956,455884.8422870321,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
29,4.947769655960602,83597.44593415293,307.83044339686563,83289.61549075607,18.040540704789837,4.94776965596073,4.947769655961114,3329.002843313748,26216.454794168472,461745.66509529843,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
30,1.7109816074356434,83950.31122785049,310.6910381312523,83639.62018971924,19.491777875110607,2.7946014282361165,6.045460890637536,3338.5145327596815,26291.125170946125,466036.55719687836,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
31,0.8909828662934522,85252.28489078478,310.69827795449817,84941.58661283029,18.16727704415032,1.6176299298900236,3.797571120679738,3390.1800070959307,27752.9992904663,466047.4169317465,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
32,1.4194387793532117,80871.61355277585,307.1278248703554,80564.48572790548,17.83179307346966,2.279785045171532,4.860823842626491,3253.6787571036452,28354.376864373688,460691.73730553343,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
33,3.3131014108655163,87859.68134641998,345.8292145862593,87513.85213183372,23.288143935396413,3.81335248594334,5.31410571117681,3571.9582276562624,32099.395628333074,518743.82187938865,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
34,4.693793296822665,82548.40828639727,314.5251309984087,82233.88315539886,21.340257790660075,5.427786100359564,7.629764510970262,3311.703548691845,27703.46305680276,471787.6964976134,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
35,3.531957387929797,85265.29683063587,326.15231895048674,84939.14451168539,20.622520476500455,4.198969260573399,6.200004878504205,3438.1541154707807,30460.864596605294,489228.4784257305,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
36,2.054570674893858,82533.53856997765,320.60014551180967,82212.93842446584,22.487840941344764,3.6739077421419317,8.531918943886152,3344.102160305579,31083.904497861855,480900.21826771414,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
37,1.6191636323969831,87273.26043319594,339.3917949266229,86933.86863826933,23.565194516103542,3.150995777454287,7.746492212626199,3546.597078849457,33832.14266312122,509087.6923899347,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
38,1.615795731552243,88075.2979326843,312.7581553788446,87762.53977730546,18.16981951847418,2.490738902758306,5.115568416376493,3476.8154230380537,26272.486877799034,469137.2330682677,-24.998831803552964,24.965500027814894,-0.016665887869034453,24.98216591568393,-0.01666588786903531,-24.990509962808233,-24.96554444057404,14.433079063855502,0.0
